'id','colorcode','groupname'
1528,#0b32c7,Doosan/Hyundai
1529,#428876,Hangcha
1532,#989cd9,Yale
1533,#45e7c0,Hyster
1535,#060fe6,Jungheinrich
1536,#8aff84,Still
1537,#cbcf20,Toyota
1538,#32148a,Mitsubishi
1540,#b1845b,Raymond
1541,#1e3219,Sumitomo
1542,#d4ea47,Nissan
1543,#8d7291,Baoli
1544,#87955a,BT
1545,#837793,Komatsu
1546,#6ceda6,TCM
1547,#e77f0c,UniCarrier
1548,#655bbd,Enforcer
1549,#f3d051,CAT
1550,#5937e9,Others
1551,#773217,Hyundai
1552,#fa86ac,KOMATSU FORKLIFT
1553,#b7668e,Nichiyu
1556,#ea0f41,iMOW
1530,#e7a800,HYG
1554,#0b53d5,BYD
1555,#1f1e1f,Caterpillar
1534,#c92410,Crown
1527,#69772c,Clark
1531,#a09d9a,Heli
1539,#d0021b,Linde
